# name                           rah         dech        velmin velmax shif 
  1780                           12:39:12.42 +06:00:44.4 2193.0 2651.0 3.8  
  1791                           12:39:25.01 +07:57:58.4 1998.0 2178.0 6.31 
  1804                           12:39:40.14 +09:23:55.5 1832.0 1964.0 0.25 
  1811                           12:39:51.89 +15:17:51.7 518.5  743.5  6.3  
#  1813                           12:39:55.95 +10:10:34.2 0.0    0.0    0.0  
  1816                           12:39:58.66 +13:46:53.7 972.5  1036.0 2.96 
  1822                           12:40:10.40 +06:50:48.4 986.5  1038.0 0.64 
  1859                           12:40:57.55 +11:54:42.9 1519.0 1781.0 0.94 
  1868                           12:41:12.35 +11:53:01.6 2069.0 2433.0 5.0  
  1873                           12:41:19.45 +06:31:24.7 1592.0 1792.0 1.37 
  1929                           12:42:37.15 +14:21:23.3 147.5  432.5  7.31 
  1931                           12:42:40.69 +13:15:56.9 1020.0 1180.0 3.66 
  1932                           12:42:41.11 +14:17:39.5 71.25  522.8  6.75 
  1943                           12:42:52.37 +13:15:26.5 750.8  1193.0 15.8 
  1955                           12:43:07.65 +12:03:03.0 1979.0 2055.0 0.77 
  1970                           12:43:28.99 +10:05:34.4 1248.0 1402.0 0.13 
  1972                           12:43:32.50 +11:34:56.2 1270.0 1574.0 8.2  
  1987                           12:43:56.55 +13:07:35.5 805.0  1267.0 102.7
  1992                           12:44:09.64 +12:06:50.3 922.5  1088.0 3.3  
  2006                           12:44:45.45 +12:21:03.4 786.5  903.5  1.28 
  2007                           12:44:47.54 +08:06:27.3 1799.0 1915.0 0.34 
#  2015                           12:45:11.97 +10:19:28.4 0.0    0.0    0.0  
  2023                           12:45:31.93 +13:19:56.0 823.5  1102.0 10.44
  2034                           12:46:07.81 +10:09:44.6 1454.0 1546.0 0.99 
  2037                           12:46:15.32 +10:12:19.8 1109.0 1175.0 0.36 
  2058                           12:47:45.58 +13:45:46.2 1467.0 1759.0 9.1  
  2062                           12:48:00.60 +10:58:23.5 1096.0 1184.0 7.2  
  2066                           12:48:15.11 +10:58:60.0 1098.0 1256.0 3.35 
  AGC226030                      12:08:20.90 +12:30:07.8 2298.0 2342.0 0.33 
